ch_in,ch_out,dim,kernel,padding,quant,stride,BRAM_18K,DSP,FF,LUT,URAM,avg_total_cycles,estimated_clock_period
16,11,32,3,1,15,1,10,1,450,1059,0,4763059,4.046
9,7,23,5,3,2,5,2,1,417,1183,0,117191,3.392
3,11,26,5,2,5,4,3,1,503,1116,0,108946,3.426
10,14,16,4,3,2,5,2,0,380,1106,0,105654,4.221
1,12,44,5,3,3,5,1,0,305,916,0,81288,2.659
8,1,50,5,0,14,5,9,2,529,1062,0,113046,4.018
1,14,30,4,1,6,4,1,0,237,658,0,40880,3.156
16,5,25,4,0,5,4,5,1,518,1088,0,154645,3.392
14,12,44,5,4,3,2,4,0,466,1359,0,6109576,4.458
4,4,34,2,1,7,5,4,0,357,998,0,26582,3.464
6,9,16,5,2,3,5,2,0,335,1022,0,59999,3.394
7,12,49,2,1,11,5,9,4,865,1257,0,225306,4.198
16,2,41,4,1,2,2,1,1,556,1249,0,628150,3.392
1,4,39,2,1,10,2,2,0,313,887,0,27494,3.718
9,13,48,2,0,10,3,9,0,395,1073,0,490836,3.763
10,5,25,4,1,4,4,3,1,413,1124,0,97977,3.392
9,11,39,5,2,11,4,12,1,487,1307,0,662164,4.198
4,12,30,3,1,8,5,3,0,315,886,0,57906,3.571
4,12,32,5,1,7,1,5,0,393,1029,0,2714250,3.464
11,8,25,2,0,2,3,1,1,401,1047,0,102884,3.392
10,13,21,5,3,2,4,2,1,419,1188,0,309473,3.392
3,1,38,2,0,4,3,2,2,606,997,0,24423,4.098
13,14,23,2,1,3,5,3,0,432,1222,0,88075,4.178
12,14,29,5,1,9,1,16,0,457,1249,0,7648040,3.511
11,3,23,4,3,15,3,9,1,583,1287,0,135199,4.188
16,6,14,4,3,4,4,3,0,356,1045,0,115308,3.473
14,2,49,2,1,6,4,4,0,442,1273,0,174180,4.458
8,8,10,2,1,6,4,1,0,333,1000,0,11506,3.349
10,14,11,4,2,11,1,8,1,412,1114,0,856502,3.917
5,1,43,4,1,10,1,8,0,437,1162,0,403789,4.268
15,1,21,3,2,12,4,9,4,781,1117,0,44336,4.188
7,8,25,5,2,4,2,3,3,814,1266,0,747808,4.258
10,16,32,3,2,10,1,10,0,429,1190,0,4882280,3.763
10,16,30,5,4,10,4,12,0,470,1324,0,840660,4.188
13,13,15,2,0,7,4,3,0,363,947,0,48206,3.425
16,1,48,2,0,10,4,8,0,352,946,0,147050,3.763
8,1,25,5,1,7,5,4,1,515,1158,0,30014,3.392
16,12,40,5,4,12,4,16,1,449,1208,0,1535286,3.962
1,2,40,2,0,11,1,2,1,277,772,0,47750,3.89
14,7,35,3,2,12,4,9,2,489,1250,0,316255,3.962
12,11,50,5,0,7,1,6,0,458,1282,0,17457979,4.448
10,16,29,2,1,3,5,3,0,395,1109,0,110004,3.493
5,4,14,4,1,3,2,1,0,273,822,0,45253,2.344
8,4,49,2,0,14,2,8,2,575,1144,0,323642,4.018
3,10,9,3,0,12,2,2,1,337,876,0,13785,3.891
12,6,35,5,1,5,3,5,0,460,1314,0,589784,4.198
1,3,33,3,0,6,5,1,0,252,767,0,7304,3.158
1,13,31,4,2,12,2,3,3,325,751,0,183576,3.917
13,6,27,4,3,15,1,10,1,483,1124,0,2994719,4.046
16,11,32,2,1,2,3,1,0,393,1091,0,355051,3.476
7,2,28,4,0,14,5,9,1,349,956,0,32291,4.018
3,2,46,2,1,4,4,2,1,453,1034,0,33465,3.463
2,7,10,4,1,3,3,0,0,288,958,0,6289,2.803
1,4,10,5,2,15,1,1,1,268,819,0,25348,3.975
6,7,41,2,0,14,2,9,2,460,1041,0,373409,4.268
4,11,49,2,1,10,1,9,1,600,1304,0,1627375,3.763
8,12,50,3,2,10,1,9,1,624,1410,0,6882110,3.763
16,11,35,5,3,16,2,16,2,668,1436,0,4018827,4.068
5,9,39,3,1,11,3,9,1,472,1259,0,225670,4.268
4,6,33,3,2,11,5,9,2,561,1196,0,46620,3.935
12,5,25,4,0,7,1,5,0,411,1150,0,1248793,4.178
5,5,16,3,1,10,4,3,0,355,962,0,15242,3.718
12,15,45,5,4,10,2,16,1,649,1484,0,7081004,4.458
15,8,44,3,1,7,5,5,3,855,1328,0,436901,4.448
16,8,18,3,2,8,1,5,1,560,1266,0,1358794,3.589
10,9,49,2,0,9,1,9,0,440,1184,0,3019915,4.198
1,13,14,2,1,14,1,1,1,267,670,0,42105,3.947
10,2,41,4,2,16,1,9,1,481,1319,0,1545060,4.198
9,3,31,3,1,3,4,2,0,357,958,0,73943,3.493
8,13,19,5,4,14,1,12,2,611,1294,0,3438617,4.018
7,10,25,5,2,13,2,10,4,865,1300,0,930724,4.258
12,14,47,2,0,10,4,9,0,433,1193,0,425480,4.448
11,12,8,3,0,16,2,3,1,364,873,0,33799,4.023
16,4,48,3,1,10,3,9,1,580,1313,0,548282,3.763
1,9,15,5,3,6,1,1,1,282,824,0,162626,3.392
9,11,25,5,3,12,3,12,1,445,1178,0,520406,3.962
9,1,36,2,0,15,3,8,1,371,928,0,55097,4.046
3,15,25,4,0,5,4,2,3,631,1036,0,95246,4.099
2,2,25,5,4,16,1,4,1,406,1105,0,217036,4.05
15,10,35,2,1,6,2,5,3,854,1265,0,1040492,4.448
9,14,18,4,3,15,1,10,1,434,1144,0,2358767,4.046
3,3,13,2,1,8,4,1,0,457,1053,0,4058,3.512
16,1,15,5,2,9,5,9,1,504,1142,0,24282,3.511
9,16,49,5,0,13,4,12,1,468,1181,0,1357733,4.198
15,4,14,4,3,11,1,9,1,385,1067,0,743983,3.935
8,9,30,2,0,14,5,9,1,393,988,0,59897,4.018
8,2,50,3,2,13,3,9,2,584,1283,0,202902,3.99
9,4,28,4,0,7,2,5,0,360,1000,0,279449,3.463
8,15,18,4,1,3,2,2,0,361,1022,0,420163,3.403
9,1,16,2,1,12,3,4,1,353,919,0,12947,3.944
1,9,21,3,1,2,3,0,0,259,822,0,13143,2.35
6,15,20,3,0,9,4,5,0,357,1007,0,67265,3.493
1,13,42,4,3,14,5,5,1,320,849,0,50561,4.0
1,1,22,5,4,3,1,1,0,246,704,0,43968,2.621
2,16,43,4,1,8,4,3,0,410,1143,0,178792,3.951
16,5,13,5,2,4,3,3,0,383,1116,0,135629,3.463
13,11,10,2,0,14,4,3,1,387,951,0,22906,3.973
11,15,28,3,0,8,5,5,0,510,1148,0,183192,3.589
8,7,35,2,0,15,4,9,2,565,1068,0,96451,4.046
2,12,43,4,3,11,2,9,1,443,1164,0,559188,3.979
3,9,23,5,3,14,1,5,5,853,1244,0,1317677,4.099
2,5,21,2,1,15,4,2,1,399,990,0,8527,4.001
16,15,11,3,2,4,1,2,1,513,1175,0,1068659,3.403
10,3,31,5,3,5,2,5,0,422,1193,0,574054,4.188
14,13,10,4,2,6,2,4,0,369,1077,0,282771,3.425
13,6,14,2,1,8,3,3,0,325,882,0,37131,3.571
1,12,44,5,1,3,4,1,0,312,897,0,96540,2.659
11,3,31,5,1,9,1,9,1,687,1217,0,1761100,3.511
16,11,15,3,2,8,5,5,1,546,1242,0,89019,3.589
13,1,31,4,1,2,4,1,0,340,887,0,76365,3.456
16,7,35,3,1,10,4,9,1,601,1321,0,302979,3.763
3,4,26,2,0,8,5,1,3,633,1071,0,13205,4.099
16,5,32,4,2,3,2,3,0,388,1045,0,1030421,3.523
11,8,12,3,2,3,4,2,0,295,823,0,43763,2.381
16,16,34,3,1,8,2,6,0,438,1166,0,1994018,3.589
2,1,25,5,3,6,2,1,0,324,926,0,29440,3.349
15,6,27,5,4,6,5,6,4,851,1261,0,385727,4.099
10,13,18,5,3,4,3,3,0,369,1123,0,409787,3.463
16,8,26,4,0,8,3,5,1,542,1128,0,381066,3.589
9,10,26,5,2,8,5,6,0,409,1193,0,223325,3.589
1,13,50,2,0,8,2,2,0,327,847,0,122191,3.571
7,2,49,4,2,9,1,9,3,833,1314,0,1956332,4.198
2,12,16,2,1,14,1,1,1,382,932,0,106336,3.947
11,12,8,2,1,14,3,3,1,401,1016,0,20005,3.973
1,3,8,5,2,9,4,1,0,220,764,0,1088,3.44
12,9,21,5,3,8,3,6,0,448,1293,0,450713,4.188
12,10,22,5,1,2,5,2,0,362,1105,0,139428,3.436
12,10,27,5,3,6,1,6,0,445,1189,0,6306908,3.493
16,11,46,4,1,6,1,6,0,438,1212,0,15122775,3.543
15,14,36,5,1,14,5,16,3,771,1302,0,858937,4.448
10,15,44,2,0,9,2,9,1,588,1224,0,1092927,4.198
3,14,20,5,2,3,1,2,0,335,1048,0,1057877,3.349
