ch_in,ch_out,dim,kernel,padding,quant,stride,BRAM_18K,DSP,FF,LUT,URAM,avg_total_cycles,estimated_clock_period
14,16,12,4,1,10,5,8,0,390,1101,0,92848,3.745
6,3,47,2,0,10,3,8,1,426,1117,0,108188,3.763
1,4,14,2,0,11,4,1,1,226,654,0,1596,3.864
3,2,32,3,0,11,3,4,1,318,814,0,25751,3.917
16,3,33,2,1,7,1,4,1,570,1235,0,842892,3.392
1,12,21,4,3,5,4,1,0,280,825,0,20060,2.816
1,6,9,3,1,12,2,0,1,294,795,0,4314,3.397
10,12,35,5,0,13,2,12,1,462,1143,0,1949736,4.188
15,9,20,3,1,7,1,5,2,697,1249,0,1919384,4.178
4,15,28,3,0,15,4,5,1,377,958,0,88147,4.028
5,4,17,2,0,10,4,2,0,340,922,0,9425,3.718
10,3,39,5,2,8,2,5,0,459,1284,0,797541,4.198
8,3,11,2,0,13,2,1,1,500,1082,0,11956,4.327
15,8,14,3,2,12,1,10,1,410,1097,0,815113,3.962
1,7,39,2,1,6,5,1,0,294,812,0,11331,3.158
15,12,34,5,4,15,5,16,3,771,1286,0,954431,4.448
2,12,33,2,1,16,4,4,1,432,1095,0,36568,4.05
13,2,41,5,1,16,2,9,1,497,1358,0,717011,4.448
8,1,50,4,0,12,3,8,2,536,1056,0,149786,3.962
3,3,14,2,0,8,5,1,0,307,919,0,3200,3.512
8,2,39,4,1,3,3,2,1,545,1241,0,154702,3.392
16,9,43,5,1,10,3,12,1,625,1407,0,1851009,3.763
11,5,47,4,3,13,4,9,1,513,1362,0,474540,4.448
16,14,41,2,1,12,2,9,2,642,1330,0,1484820,3.962
3,2,38,2,1,14,1,8,2,535,1080,0,148413,4.018
1,15,24,2,0,12,3,1,1,282,727,0,15575,3.891
11,5,44,4,0,5,3,5,0,427,1154,0,521218,4.198
6,7,19,3,2,9,5,5,1,430,1206,0,36323,3.493
4,6,23,3,2,16,3,5,2,577,1237,0,59636,4.05
15,7,34,2,0,3,3,2,0,501,1108,0,234356,3.503
2,1,43,5,0,3,2,1,0,322,885,0,61972,3.929
13,9,23,3,2,12,4,10,1,473,1257,0,175016,4.188
12,9,28,5,0,16,3,12,1,423,1086,0,459809,4.068
7,9,28,2,0,16,5,9,1,395,1034,0,50002,4.068
16,11,17,5,1,9,3,16,1,579,1277,0,290935,3.511
6,12,25,3,1,5,3,5,0,418,1210,0,166508,4.258
1,4,16,4,1,5,4,1,0,220,701,0,3652,2.816
9,4,47,4,1,8,1,5,0,475,1291,0,3280269,4.198
15,9,50,3,0,14,5,10,3,738,1223,0,593054,4.458
2,12,15,5,2,13,5,2,1,380,1039,0,15520,3.919
6,9,16,4,1,15,2,3,1,398,931,0,152027,4.001
16,11,24,3,2,4,3,3,0,381,1131,0,405807,3.493
12,16,20,3,2,11,1,10,1,422,1179,0,2450262,3.935
10,11,9,5,3,12,3,8,1,407,1101,0,114125,3.944
13,13,50,4,1,5,3,6,0,495,1332,0,2162838,4.458
9,3,41,2,0,7,1,4,0,405,1106,0,661907,4.188
7,12,46,4,0,4,4,3,2,674,1147,0,599095,4.188
4,4,37,3,2,6,1,4,1,560,1306,0,664194,3.392
16,9,26,4,0,12,5,12,2,566,1131,0,187593,3.962
2,10,11,3,0,5,4,0,0,311,948,0,5794,2.948
11,2,48,2,0,11,3,8,1,386,1035,0,158647,3.935
11,7,23,5,0,2,5,2,0,499,1140,0,95442,4.221
2,16,17,4,1,14,4,2,1,383,959,0,24260,3.947
3,14,29,5,3,4,5,2,3,790,1244,0,169558,4.099
13,15,15,2,0,7,5,3,0,483,1047,0,34766,3.425
14,2,38,5,1,12,1,9,1,418,1160,0,2320808,3.962
11,2,36,4,0,9,1,9,0,380,1035,0,1055511,3.511
2,12,24,5,3,15,2,3,1,402,1072,0,260264,4.001
2,16,33,2,1,10,4,4,0,411,1107,0,46372,3.951
9,11,23,2,1,13,2,9,1,460,1183,0,219314,4.258
1,9,37,5,0,5,5,1,0,295,836,0,31789,2.818
2,8,13,2,1,3,3,0,0,313,975,0,7380,2.803
8,15,10,5,4,11,5,8,1,393,1064,0,72175,3.917
2,10,21,5,0,3,3,1,0,329,994,0,48374,3.832
12,4,10,4,0,15,3,3,1,354,967,0,22486,4.001
1,8,27,3,0,7,3,1,0,288,817,0,19340,3.216
5,3,24,4,2,7,4,2,0,346,1058,0,41569,3.425
16,2,26,2,0,12,2,8,2,552,1133,0,112270,3.962
7,13,24,5,4,13,1,12,1,365,916,0,4460742,3.99
9,2,37,4,3,4,2,2,0,430,1236,0,347223,4.198
3,3,22,2,0,5,4,1,3,598,984,0,11831,3.392
3,13,22,3,1,11,5,3,2,508,1109,0,31358,3.89
15,7,41,4,0,11,1,10,4,861,1218,0,8289659,4.448
11,2,12,5,2,15,5,5,1,325,868,0,19139,4.028
13,7,28,5,3,3,3,3,0,523,1169,0,603268,3.493
3,2,34,3,0,12,2,4,1,356,907,0,51953,3.944
13,9,35,4,3,3,4,3,1,466,1237,0,551259,3.392
5,5,36,3,0,16,1,9,1,412,1007,0,783672,4.068
6,2,17,2,0,2,3,1,0,299,865,0,11952,3.349
15,16,21,4,0,13,2,12,3,713,1143,0,1075100,4.178
9,9,38,3,2,2,5,1,0,426,1292,0,179822,4.151
10,4,18,4,3,5,1,5,0,363,1098,0,757936,3.463
7,1,21,3,1,10,5,4,3,766,1173,0,17303,4.23
15,12,20,2,0,9,2,9,0,386,1042,0,274223,3.511
9,8,8,5,2,5,1,2,0,341,1025,0,289817,3.349
14,16,33,2,0,13,4,9,1,409,917,0,251148,3.99
1,11,8,3,2,7,5,0,0,234,794,0,1547,2.671
6,10,39,5,1,2,4,2,1,434,1146,0,493794,4.231
16,3,29,4,2,16,4,9,1,437,1081,0,176360,4.068
16,1,18,4,0,12,5,9,1,332,859,0,23114,3.962
13,7,46,5,3,12,4,12,1,634,1443,0,908086,4.458
1,7,41,2,1,7,5,1,0,305,842,0,13509,3.218
9,10,20,2,1,15,2,9,1,465,1176,0,167669,4.258
7,6,23,3,1,11,4,9,4,812,1182,0,66576,4.258
12,14,9,4,2,4,4,2,0,373,1130,0,68576,4.163
6,2,27,2,0,12,2,8,1,402,1061,0,43076,4.258
1,3,18,4,2,15,4,1,1,281,772,0,4422,3.975
12,2,17,4,3,8,3,5,1,421,1160,0,65008,3.589
15,8,49,4,0,4,5,3,2,685,1171,0,763756,4.458
14,11,23,2,0,11,1,9,1,443,1152,0,1078541,4.178
15,12,41,2,1,3,4,3,3,832,1243,0,522026,4.448
16,8,35,4,3,3,3,3,1,589,1339,0,982682,3.392
1,2,21,5,2,10,1,1,0,298,897,0,56398,3.692
15,7,9,5,1,16,2,6,3,688,1234,0,109518,4.193
2,6,36,4,3,7,3,2,0,394,1165,0,96494,3.951
14,13,17,5,0,7,3,6,0,380,1014,0,296291,3.425
13,13,34,4,2,15,2,12,2,539,1196,0,3016990,4.198
4,7,10,2,0,15,3,1,1,358,937,0,5131,3.975
4,2,37,2,1,3,2,2,1,525,1145,0,60238,3.392
3,14,24,2,0,5,3,1,0,328,969,0,45245,3.349
11,12,36,4,0,11,5,12,1,426,1053,0,317819,3.935
16,9,29,2,1,5,2,5,0,413,1100,0,502701,3.493
1,9,12,2,0,3,3,0,0,215,686,0,2609,2.023
8,10,8,5,3,11,2,4,1,379,1036,0,127712,3.89
12,2,13,4,1,14,2,5,1,377,1052,0,44106,4.0
15,11,30,3,0,6,2,5,0,382,1045,0,888290,3.493
11,8,44,5,2,16,1,12,1,496,1313,0,10665043,4.068
4,1,13,2,1,3,4,1,0,285,836,0,3486,3.327
5,4,33,4,2,8,3,5,0,420,1202,0,140857,4.258
9,9,35,4,0,10,4,10,0,434,1154,0,253730,4.188
9,9,36,4,2,3,4,3,0,374,1096,0,381692,3.493
4,5,50,4,3,16,1,9,1,452,1208,0,2421825,4.068
10,14,28,3,1,9,2,10,0,419,1157,0,745534,3.511
11,15,41,4,3,6,3,6,1,611,1355,0,1631815,3.392
4,2,30,2,0,6,2,2,0,325,930,0,37578,3.426
15,8,23,4,2,6,2,5,3,826,1260,0,965432,4.188
12,9,32,3,0,2,5,1,0,307,874,0,140693,2.422
16,4,33,5,4,4,2,3,1,580,1292,0,1502282,3.392
7,8,17,5,3,8,4,3,2,678,1214,0,117154,4.23
7,15,27,3,0,12,1,9,4,824,1189,0,2334389,4.258
15,14,41,5,0,5,2,8,2,719,1242,0,5928664,4.448
1,1,16,5,4,3,4,1,0,197,651,0,2754,2.621
13,8,38,4,0,3,1,3,0,439,1172,0,5429811,4.198
3,5,24,3,0,10,4,3,0,329,985,0,20030,3.718
2,13,49,3,2,7,3,4,0,417,1199,0,219103,3.979
14,13,31,3,1,7,2,5,0,415,1061,0,1262955,3.493
4,2,15,2,1,4,2,1,0,313,893,0,10754,3.349
13,15,48,3,2,8,1,5,1,743,1469,0,12852168,4.458
12,6,27,3,1,13,4,9,1,458,1218,0,121736,4.188
6,6,40,2,0,15,2,9,1,404,997,0,236678,4.046
11,10,47,3,0,12,5,9,2,487,1177,0,310558,3.962
4,1,12,5,3,11,2,2,1,333,923,0,15038,3.89
8,4,15,5,2,6,1,3,1,523,1199,0,455994,3.392
4,10,17,4,0,4,2,2,0,328,884,0,87292,3.349
7,6,36,2,1,12,3,9,4,741,1175,0,175293,4.098
2,12,45,3,0,9,2,5,0,404,1106,0,326804,3.951
5,13,42,5,1,9,1,10,0,467,1279,0,6519096,4.268
10,11,13,5,0,11,5,6,1,402,1087,0,33197,4.194
11,9,30,5,3,13,3,12,1,450,1190,0,781040,3.99
8,9,25,5,3,13,5,10,1,435,1152,0,180345,3.99
8,15,22,5,4,9,4,12,0,414,1170,0,382327,3.511
11,4,22,5,4,16,5,10,1,443,1210,0,120609,4.068
12,1,33,5,0,3,2,2,0,340,889,0,209102,3.493
6,4,16,3,1,14,5,3,1,358,945,0,15704,3.973
15,3,15,4,3,14,2,9,3,700,1183,0,212858,4.178
8,13,27,5,2,7,3,6,0,415,1177,0,545221,3.463
2,1,40,2,1,10,5,4,0,354,1018,0,12796,3.951
9,8,42,3,0,5,5,5,0,407,1139,0,170531,4.188
15,5,24,5,4,2,4,2,0,301,869,0,263272,2.422
13,3,10,2,1,7,4,1,0,457,1080,0,10233,3.348
11,12,11,2,1,16,2,3,1,466,1210,0,72799,4.193
2,1,38,3,1,3,3,1,0,319,921,0,18528,3.404
12,3,46,5,1,6,2,5,1,537,1224,0,1164830,3.523
1,5,12,3,1,2,4,0,0,196,674,0,1767,2.004
3,11,32,2,0,16,5,5,1,360,862,0,33610,4.05
4,15,32,3,0,13,4,5,1,340,774,0,114987,3.972
1,8,25,5,1,15,4,2,1,315,805,0,20088,3.975
13,15,48,4,3,16,1,12,2,783,1465,0,21485297,4.458
13,11,41,5,1,10,3,12,0,509,1444,0,1572918,4.448
7,13,23,5,1,2,3,2,3,786,1211,0,357972,4.221
14,7,30,2,0,15,5,9,1,405,1013,0,89945,4.046
4,14,38,4,3,3,1,3,1,559,1255,0,4022640,3.392
11,5,49,4,1,2,3,1,1,462,1248,0,680007,3.392
8,6,28,5,2,4,5,3,0,309,881,0,129636,2.743
11,6,16,4,2,4,5,3,0,361,1028,0,55689,3.453
14,11,20,5,2,7,4,6,0,381,1137,0,260269,3.473
8,9,39,3,1,15,5,9,2,613,1256,0,161533,4.046
14,3,40,3,0,10,4,9,0,363,1030,0,179910,3.763
10,7,45,2,0,15,1,9,2,604,1186,0,1988977,4.198
14,11,49,4,2,5,1,6,0,489,1402,0,16336329,4.458
15,1,8,2,1,11,2,2,1,333,881,0,9467,3.89
3,14,11,3,0,8,5,2,0,588,1173,0,5843,3.823
9,6,33,4,1,9,1,9,0,452,1188,0,2367317,4.188
4,3,32,3,2,9,2,8,0,376,1039,0,106088,3.511
6,6,19,5,3,6,4,3,1,405,1137,0,90104,3.392
13,1,43,3,1,7,4,4,0,426,1211,0,118475,4.448
8,10,9,5,4,14,2,6,1,416,1045,0,248376,4.0
6,6,16,5,1,4,2,2,0,341,949,0,115610,3.349
16,9,33,4,3,16,5,12,2,631,1292,0,452429,4.068
1,1,45,2,0,11,4,2,1,253,686,0,8018,3.89
16,2,9,5,2,7,4,3,1,498,1180,0,24166,4.596
15,12,11,5,3,2,2,2,1,503,1103,0,557327,3.416
10,7,45,5,0,4,4,3,0,542,1255,0,590041,4.198
7,5,36,3,0,16,4,9,1,403,976,0,103124,4.068
12,13,31,5,4,12,3,12,1,475,1284,0,1440365,4.198
4,5,44,4,0,10,3,9,1,544,1160,0,191409,3.763
1,4,16,2,1,15,1,1,1,275,734,0,17252,3.975
3,6,24,5,0,7,2,2,0,333,988,0,118493,3.349
6,4,30,4,2,3,5,2,0,352,1049,0,68576,3.463
2,12,34,3,0,12,2,5,1,373,906,0,173592,3.944
12,16,48,3,0,15,4,10,1,407,1034,0,809750,4.046
16,13,29,4,2,4,5,3,0,409,1098,0,362525,3.513
1,7,14,2,0,16,1,1,2,414,823,0,17425,3.997
7,12,38,2,1,4,2,2,1,531,1138,0,514125,3.493
13,9,41,4,1,2,2,2,0,462,1292,0,2043714,4.411
8,2,31,5,0,4,5,2,0,338,1011,0,60214,3.463
4,13,36,4,3,16,1,9,2,612,1269,0,3381197,4.068
6,15,30,4,1,13,3,10,1,360,878,0,399245,3.99
2,11,24,5,2,6,2,2,0,341,1036,0,204025,3.349
1,3,30,4,2,6,1,1,0,271,798,0,124398,3.158
4,2,31,4,1,12,2,8,1,387,1001,0,89266,3.962
6,5,21,3,2,13,3,5,2,445,1148,0,60869,3.972
6,11,24,5,2,12,3,10,1,404,1104,0,275933,3.962
2,8,38,3,1,8,4,2,0,364,1047,0,52760,3.571
1,11,29,4,1,7,1,1,0,291,824,0,365653,3.216
14,3,31,3,2,7,1,5,0,427,1231,0,1242366,4.198
7,5,41,3,2,10,2,9,3,863,1353,0,638087,4.188
5,4,30,5,3,4,4,2,0,350,1039,0,96281,3.463
8,7,22,5,3,16,5,10,1,433,1187,0,102307,4.068
1,8,38,4,3,2,3,1,0,286,851,0,71138,2.615
10,3,11,3,2,3,5,1,0,342,1071,0,12470,3.403
8,7,35,3,1,4,1,2,2,704,1319,0,1834910,3.392
12,4,38,5,3,7,3,5,1,465,1319,0,646990,3.392
5,2,17,2,0,9,3,2,0,339,943,0,9989,3.466
16,7,14,2,1,4,1,1,0,303,847,0,367815,2.703
1,15,36,4,0,10,4,3,0,285,799,0,55415,3.718
16,4,18,2,1,9,5,9,0,362,1061,0,32858,3.511
6,12,15,5,4,11,4,6,2,435,1138,0,119258,3.917
4,16,43,5,2,2,5,2,1,552,1251,0,349450,3.392
16,8,34,4,3,8,4,5,0,409,1146,0,605034,3.589
11,16,24,4,1,13,4,12,1,472,1200,0,289033,4.178
4,7,50,2,1,5,1,4,2,701,1242,0,1090290,3.392
